Municipio,Cargo,Numero_Candidato,Nome_Completo,Nome_Urna,Tipo_Agremiacao,Partido,UF_Nascimento,Mun_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Ocupacao,Despesas_Max_Partido,Reeleicao,Declar_Bens
SÃO DOMINGOS DO ARAGUAIA,VEREADOR,12333,ADALGIZA MENDES DE SOUSA,ADALGIZA,PARTIDO ISOLADO,PDT,MA,BARRA DO CORDA,67,FEMININO,LÊ E ESCREVE,CASADO(A),PARDA,DONA DE CASA,47311.7,N,S
SANTA BÁRBARA DO PARÁ,VEREADOR,70789,WALDENIZE PINHEIRO BARBOSA,WAL PINHEIRO,PARTIDO ISOLADO,AVANTE,PA,BELÉM,41,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,12307.75,N,S
IPIXUNA DO PARÁ,VEREADOR,55777,RITA DE CACIA FREITAS DA CONCEIÇÃO,RITA DO CHIQUINHO,PARTIDO ISOLADO,PSD,PA,PARAGOMINAS,39,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL,12307.75,N,S
IGARAPÉ-MIRI,VEREADOR,20555,OSCAR PINHEIRO CASTELO BRANCO DE LIMA NETO,JUNIOR DO MANOEL LUIZ,PARTIDO ISOLADO,PSC,PA,IGARAPÉ-MIRI,41,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,16625.55,N,N
PRIMAVERA,VEREADOR,22000,LUIZ OTÁVIO OLIVEIRA ARAÚJO,LUIZ PINTOR,PARTIDO ISOLADO,PL,PA,PRIMAVERA,49,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,VEREADOR,12307.75,N,S
SALVATERRA,VEREADOR,77154,HEITOR MARCIEL MUNIZ,HEITOR ANÃO,PARTIDO ISOLADO,SOLIDARIEDADE,PA,SALVATERRA,47,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
MARITUBA,VEREADOR,22000,HALLINY MACHADO DE SOUSA,PROFESSORA HALLINY,PARTIDO ISOLADO,PL,PA,BELÉM,41,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL,29099.54,N,S
SANTA ISABEL DO PARÁ,VEREADOR,19123,FRANCISCO VALTEMBERG LIMA DE OLIVEIRA,NOVINHO MOSSORÓ,PARTIDO ISOLADO,PODE,RN,MOSSORÓ,39,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,OUTROS,33247.26,N,S
OURÉM,VEREADOR,40000,JACOB ALVES DE OLIVEIRA,DR JACOB,PARTIDO ISOLADO,PSB,PA,CAPANEMA,38,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADVOGADO,19335.49,N,S
ANANINDEUA,VEREADOR,20025,CLAUDIO MORAES FERREIRA,CLAUDIO DENTINHO,PARTIDO ISOLADO,PSC,PA,BELÉM,39,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,115386.04,N,S
MUANÁ,VEREADOR,90567,ZEANE TEIXEIRA PINHEIRO,ZEANE DA SAÚDE,PARTIDO ISOLADO,PROS,PA,MUANÁ,38,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
TRACUATEUA,VEREADOR,12456,WELLINGTON JOSÉ DE SOUZA SARMENTO,WELLINGTON SARMENTO,PARTIDO ISOLADO,PDT,PA,ANANINDEUA,41,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,POLICIAL MILITAR,12307.75,N,N
REDENÇÃO,VEREADOR,20007,THIAGO DEVID DOS SANTOS,PASTOR THIAGO,PARTIDO ISOLADO,PSC,PA,REDENÇÃO,50,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,OUTROS,46902.06,N,S
AVEIRO,VEREADOR,10111,SILVESTRE DOS ANJOS SANTIAGO,SILVESTRE,PARTIDO ISOLADO,REPUBLICANOS,PA,AVEIRO,40,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
ABEL FIGUEIREDO,VEREADOR,22345,SERGIO RIBEIRO DOS SANTOS,DOQUINHA,PARTIDO ISOLADO,PL,PA,SÃO JOÃO DO ARAGUAIA,46,MASCULINO,LÊ E ESCREVE,CASADO(A),PRETA,TRABALHADOR RURAL,24713.5,N,S
TUCURUÍ,VEREADOR,19787,RAIMUNDO CORDEIRO DA SILVA FILHO,CORDEIRO,PARTIDO ISOLADO,PODE,PI,PIRIPIRI,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,OUTROS,77517.41,N,S
CACHOEIRA DO PIRIÁ,VEREADOR,15234,NILO FERREIRA DA COSTA,NILO FERREIRA,PARTIDO ISOLADO,MDB,PI,BARRAS,52,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,VEREADOR,28934.44,N,S
AURORA DO PARÁ,VEREADOR,55678,MARIA LUCI DOS SANTOS FERREIRA,LUCI,PARTIDO ISOLADO,PSD,PA,SÃO DOMINGOS DO CAPIM,51,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,12307.75,N,S
PRIMAVERA,VEREADOR,55234,MACIEL VIEIRA DA SILVA SANTOS,JUNIOR BADALA,PARTIDO ISOLADO,PSD,PA,PRIMAVERA,41,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,OUTROS,12307.75,N,S
PARAUAPEBAS,VEREADOR,12900,LUSTOSA DA CONCEIÇÃO ESTUMANO BARBOSA ANDRADE,LUSTOSA,PARTIDO ISOLADO,PDT,PA,TUCURUÍ,44,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,COMERCIANTE,211925.15,N,S
BOM JESUS DO TOCANTINS,VEREADOR,15100,VALDIR HELIO BORGES DA SILVA,HELIO BORGES,PARTIDO ISOLADO,MDB,BA,RIACHÃO DO JACUÍPE,46,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,OUTROS,12307.75,N,S
NOVO REPARTIMENTO,VEREADOR,65345,JORNANDES SANTOS DA SILVA,JORNANDES REZENDE,PARTIDO ISOLADO,PC do B,BA,MEDEIROS NETO,49,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,OUTROS,49644.56,N,S
NOVA TIMBOTEUA,VEREADOR,22222,JOÃO BATISTA PEREIRA DE OLIVEIRA,BATISTA DO ÂNGELO GOMES,PARTIDO ISOLADO,PL,PA,NOVA TIMBOTEUA,44,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
MUANÁ,VEREADOR,55123,HEIDER NUNES DE MATOS,HEIDER NUNES,PARTIDO ISOLADO,PSD,PA,BELÉM,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
ITUPIRANGA,VEREADOR,10222,HAMILTON LOPES DA CONCEIÇÃO,HAMILTON DA SAÚDE,PARTIDO ISOLADO,REPUBLICANOS,PA,ITUPIRANGA,44,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,25692.1,N,S
MOJU,VEREADOR,55110,GEANE OLIVEIRA SOUSA,GEANE,PARTIDO ISOLADO,PSD,PA,MOJU,40,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
BOM JESUS DO TOCANTINS,VEREADOR,40789,FRANCISCO DA SILVA COSTA,COSTINHA,PARTIDO ISOLADO,PSB,MA,DUQUE BACELAR,47,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,12307.75,N,S
CACHOEIRA DO PIRIÁ,VEREADOR,15600,EDVALDO BARBOSA DOS SANTOS,EDVALDO LATA VELHA,PARTIDO ISOLADO,MDB,PA,OURÉM,44,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,OCUPANTE DE CARGO EM COMISSÃO,28934.44,N,S
SANTO ANTÔNIO DO TAUÁ,VEREADOR,15123,EDILSON PIMENTA DE SOUZA JUNIOR,JUNIOR CABELUDO,PARTIDO ISOLADO,MDB,PA,BELÉM,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,MECÂNICO DE MANUTENÇÃO,15743.9,N,S
CASTANHAL,VEREADOR,25235,CILENE DO SOCORRO DIAS QUEIROZ,PROFESSORA CILENE QUEIROZ,PARTIDO ISOLADO,DEM,PA,CASTANHAL,43,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,DONA DE CASA,53698.78,N,S
CAPANEMA,VEREADOR,55013,ARIZANGELA DE FATIMA MOISES MENDONÇA,ARY,PARTIDO ISOLADO,PSD,CE,LIMOEIRO DO NORTE,42,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,REPRESENTANTE COMERCIAL,49946.34,N,S
BREU BRANCO,VEREADOR,15789,ADGAR ALVES MOREIRA,ADGAR DO PÉ NA JACA,PARTIDO ISOLADO,MDB,PA,BAIÃO,47,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,OUTROS,32270.52,N,N
MAGALHÃES BARATA,VEREADOR,15555,SULEINE SOUSA MONTEIRO,PROFESSORA SULEINE,PARTIDO ISOLADO,MDB,PA,MAGALHÃES BARATA,43,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
MONTE ALEGRE,VEREADOR,14123,RONILDO DE SOUZA CORREA,PROFESSOR RONILDO,PARTIDO ISOLADO,PTB,PA,MONTE ALEGRE,45,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,PROFESSOR DE ENSINO FUNDAMENTAL,22445.61,N,S
BREU BRANCO,VEREADOR,20222,RAIMUNDO NONATO CONCEICAO AZEVEDO,RAIMUNDO AZEVEDO,PARTIDO ISOLADO,PSC,PA,MARABÁ,44,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,OUTROS,32270.52,N,S
SALVATERRA,VEREADOR,11222,OZIAS FERREIRA NEVES,OZIAS NEVES,PARTIDO ISOLADO,PP,PA,SÃO CAETANO DE ODIVELAS,42,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO ESTADUAL,12307.75,N,S
BANNACH,VEREADOR,55777,NEUZENI MAGALHAES MATA GRANDE,NEUZENI MATA GRANDE,PARTIDO ISOLADO,PSD,GO,IVOLÂNDIA,45,FEMININO,LÊ E ESCREVE,SOLTEIRO(A),BRANCA,OUTROS,19881.24,N,S
CAPANEMA,VEREADOR,13130,MONICA DO SOCORRO ALVES DO NASCIMENTO,MÔNICA ALVES,PARTIDO ISOLADO,PT,PA,CAPANEMA,43,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,ADMINISTRADOR,49946.34,N,N
CANAÃ DOS CARAJÁS,VEREADOR,12456,MATEUS PEREIRA XAVIER,MATEUSÃO,PARTIDO ISOLADO,PDT,MG,SANTO ANTÔNIO DO JACINTO,40,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,PECUARISTA,87466.1,N,S
CURUÇÁ,VEREADOR,45194,MARTA OTILIA SANTOS DE SOUSA,MARTA,PARTIDO ISOLADO,PSDB,PA,CASTANHAL,44,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,AGRICULTOR,19539.08,N,S
MOJUÍ DOS CAMPOS,VEREADOR,25123,MARIA ALDINEIA AGUIAR SANTOS,ALDINEIA AGUIAR,PARTIDO ISOLADO,DEM,PA,SANTARÉM,39,FEMININO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,OUTROS,45418.0,N,S
PORTO DE MOZ,VEREADOR,45123,JOSE ORLANDO DA SILVA,TALIBINHA,PARTIDO ISOLADO,PSDB,PE,ARARIPINA,50,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,N
BARCARENA,VEREADOR,70777,JONIS SANTANA RODRIGUES,JONIS RODRIGUES,PARTIDO ISOLADO,AVANTE,PA,BARCARENA,40,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,52834.7,N,S
ITUPIRANGA,VEREADOR,25312,JANETE NASCIMENTO DE ARAUJO,JANETE NASCIMENTO,PARTIDO ISOLADO,DEM,PA,ITUPIRANGA,44,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,PESCADOR,25692.1,N,N
SOURE,VEREADOR,13100,JADIELSON FERREIRA DIAS,BAIXOTE,PARTIDO ISOLADO,PT,PA,SOURE,43,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,15977.14,S,S
LIMOEIRO DO AJURU,VEREADOR,40222,ELZIRA PINHEIRO FARIAS,ELZIRA FARIAS,PARTIDO ISOLADO,PSB,PA,LIMOEIRO DO AJURU,62,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,OUTROS,12307.75,N,S
NOVA IPIXUNA,VEREADOR,40533,ALTEREDO ALVES SANTOS,TEREDO,PARTIDO ISOLADO,PSB,MA,CANTANHEDE,52,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,VIGILANTE,18979.08,N,S
CONCEIÇÃO DO ARAGUAIA,VEREADOR,13678,MARIA OLINDA LIMA LUZ,MARIA OLINDA,PARTIDO ISOLADO,PT,PA,CONCEIÇÃO DO ARAGUAIA,45,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,OUTROS,61432.14,N,S
CURUÁ,VEREADOR,45789,MARTA ALCÂNTARA PRINTES,MARTA PRINTES,PARTIDO ISOLADO,PSDB,PA,CURUÁ,40,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,PROFESSOR DE ENSINO MÉDIO,12307.75,N,S
CUMARU DO NORTE,VEREADOR,15600,WAINYLEILA MARIA DA SILVA DE CARVALHO,LEILA,PARTIDO ISOLADO,MDB,GO,DIORAMA,46,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,12307.75,N,S
XINGUARA,VEREADOR,12444,MAURISAN ALVES DE ARAUJO,MAURISAN,PARTIDO ISOLADO,PDT,TO,MIRACEMA DO TOCANTINS,51,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,AGRICULTOR,16589.53,N,S
ANANINDEUA,VEREADOR,70100,MARJORIE CLEOMARA DE OLIVEIRA SILVA FERNANDES,MARJORIE FERNANDES,PARTIDO ISOLADO,AVANTE,MA,IMPERATRIZ,42,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,OUTROS,115386.04,N,S
PONTA DE PEDRAS,VEREADOR,45876,MARINALDO BARBOSA DOS SANTOS,MARINALDO BARBOSA DOS SANTOS,PARTIDO ISOLADO,PSDB,PA,PONTA DE PEDRAS,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,PROFESSOR DE ENSINO FUNDAMENTAL,15661.76,N,S
SANTARÉM,VEREADOR,22111,MARCOS PAULO PAES DE MOURA,MARQUINHO DO PLANALTO,PARTIDO ISOLADO,PL,AM,MANAUS,43,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,OUTROS,83396.64,N,N
ITAITUBA,VEREADOR,40789,MARCILÉA PEREIRA DOS SANTOS,ASSISTENTE SOCIAL MARCIA SANTO,PARTIDO ISOLADO,PSB,PA,ORIXIMINÁ,49,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,ASSISTENTE SOCIAL,28942.41,N,S
VIGIA,VEREADOR,12234,LOURDES DE FATIMA GAMA MAIA,DONA LOURDES,PARTIDO ISOLADO,PDT,PA,VIGIA,56,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,17170.87,N,S
MOCAJUBA,VEREADOR,23001,LEDA MARIA MARQUES SILVA,PROFESSORA LEDA,PARTIDO ISOLADO,CIDADANIA,PA,MOCAJUBA,42,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,PROFESSOR DE ENSINO FUNDAMENTAL,17706.56,N,S
BELÉM,VEREADOR,12012,JULIO CEZAR RODRIGUES PATRICIO,JULIO CEZAR,PARTIDO ISOLADO,PDT,PA,BELÉM,42,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,CANTOR E COMPOSITOR,438043.03,N,N
BUJARU,VEREADOR,55000,HUGO JOSE SOARES DOS REIS,BIGAS BALLDY,PARTIDO ISOLADO,PSD,PA,BUJARU,40,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,SERVIDOR PÚBLICO MUNICIPAL,15733.23,N,N
RONDON DO PARÁ,VEREADOR,15888,GILVAN FERREIRA DA SILVA,GILVAN FERREIRA,PARTIDO ISOLADO,MDB,PA,JACUNDÁ,40,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),17356.69,N,S
OURILÂNDIA DO NORTE,VEREADOR,25222,FLAVIA MOTA DA COSTA,FLAVIA MOTA,PARTIDO ISOLADO,DEM,PA,CONCEIÇÃO DO ARAGUAIA,41,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,91132.44,N,S
PIÇARRA,VEREADOR,12222,EDSON LOPES DA SILVA,EDSON LOPES,PARTIDO ISOLADO,PDT,PA,PIÇARRA,41,MASCULINO,ENSINO MÉDIO COMPLETO,VIÚVO(A),PARDA,VEREADOR,27654.75,N,S
BARCARENA,VEREADOR,70123,EDNA CRISTINA MARQUES CORREA,EDNA MARKS,PARTIDO ISOLADO,AVANTE,PA,BARCARENA,39,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS,52834.7,N,S
ORIXIMINÁ,VEREADOR,20003,DULCIRENE DE JESUS BARBOSA,DULCIRENE BARBOSA,PARTIDO ISOLADO,PSC,PA,ORIXIMINÁ,42,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,45737.83,N,S
ANANINDEUA,VEREADOR,15177,DEBORA CHRISTINA PEREIRA RIBEIRO GUERREIRO,DEBORA GUERREIRO,PARTIDO ISOLADO,MDB,PA,BELÉM,42,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ASSISTENTE SOCIAL,115386.04,N,S
TUCUMÃ,VEREADOR,25985,ANA CLEIA ALVES BEZERRA,ANA CLEIA,PARTIDO ISOLADO,DEM,TO,BABAÇULÂNDIA,46,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),130384.6,N,S
DOM ELISEU,VEREADOR,55234,ALDENICE LOPES GRAJAU,BAIXINHA DA SAÚDE,PARTIDO ISOLADO,PSD,MA,CODÓ,47,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,DONA DE CASA,25493.45,N,S
SALINÓPOLIS,VEREADOR,27666,ALCELINO TEIXEIRA DA CRUZ,ALCELINO,PARTIDO ISOLADO,DC,PA,SALINÓPOLIS,42,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,34729.59,N,S
IGARAPÉ-MIRI,VEREADOR,14234,ADANILDA GONÇALVES PORTUGAL,DANI PORTUGAL,PARTIDO ISOLADO,PTB,PA,IGARAPÉ-MIRI,45,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,OUTROS,16625.55,N,S
BENEVIDES,VEREADOR,12500,VANDILEIA BRAGA DOS SANTOS,LÉIA FOTÓGRAFA,PARTIDO ISOLADO,PDT,PA,SÃO MIGUEL DO GUAMÁ,46,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,FOTÓGRAFO E ASSEMELHADOS,39638.66,N,S
BRAGANÇA,VEREADOR,25123,UBIRANOR SANTOS DE OLIVEIRA,COQUINHO TCV,PARTIDO ISOLADO,DEM,PA,VISEU,42,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,55696.8,N,S
TOMÉ-AÇU,VEREADOR,25251,SULAMITA RODRIGUES DE FREITAS,PROFESSORA SULAMITA,PARTIDO ISOLADO,DEM,PA,CAMETÁ,42,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,EMPRESÁRIO,24048.38,N,S
PRAINHA,VEREADOR,55567,SONILDA DA SILVA BAHIA,SONILDA,PARTIDO ISOLADO,PSD,PA,PRAINHA,49,FEMININO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,DONA DE CASA,12307.75,N,S
ACARÁ,VEREADOR,40225,SEBASTIANA SANTOS DIAS,SEBASTIANA,PARTIDO ISOLADO,PSB,PA,ACARÁ,52,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,22325.78,N,S
XINGUARA,VEREADOR,15000,ROGERIO CONCEIÇÃO DOS SANTOS,ROGERIO SANTOS,PARTIDO ISOLADO,MDB,PA,XINGUARA,42,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PRETA,AGENTE ADMINISTRATIVO,16589.53,N,S
SÃO MIGUEL DO GUAMÁ,VEREADOR,77123,RIAN DA SILVA PEREIRA,RIAN,PARTIDO ISOLADO,SOLIDARIEDADE,GO,GOIÂNIA,45,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO MUNICIPAL,25615.83,N,S
ALENQUER,VEREADOR,11555,RAIMUNDO ELDERLAN FERNANDES DA SILVA,DEDEZINHO,PARTIDO ISOLADO,PP,PA,ALENQUER,43,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,COMERCIANTE,18687.88,N,S
RURÓPOLIS,VEREADOR,20222,OTONIEL ROSA FERREIRA,OTONIEL,PARTIDO ISOLADO,PSC,PA,RURÓPOLIS,40,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,AGENTE DE SAÚDE E SANITARISTA,23250.68,N,S
CURIONÓPOLIS,VEREADOR,23100,OZEAS PEREIRA DA SILVA,IRMÃO DA FARMÁCIA,PARTIDO ISOLADO,CIDADANIA,MA,LAGO DO JUNCO,51,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,EMPRESÁRIO,25848.36,N,S
RIO MARIA,VEREADOR,20222,NEI JOSÉ PIMENTEL RAMOS,NEI DA ASSISTENCIA,PARTIDO ISOLADO,PSC,PA,SÃO FÉLIX DO XINGU,41,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ASSISTENTE SOCIAL,12307.75,N,S
CAPITÃO POÇO,VEREADOR,22432,MISAEL RODRIGUES FURTADO,MISAEL DO GOIÂNIA,PARTIDO ISOLADO,PL,PA,SÃO DOMINGOS DO CAPIM,40,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES",33157.12,N,S
ACARÁ,VEREADOR,13104,MARLYETE ALMEIDA CARNEIRO,DIVA,PARTIDO ISOLADO,PT,PA,ACARÁ,42,FEMININO,SUPERIOR COMPLETO,CASADO(A),PRETA,"BOMBEIRO E INSTALADOR DE GÁS, ÁGUA, ESGOTO E ASSEMELHADOS",22325.78,N,S
SANTA BÁRBARA DO PARÁ,VEREADOR,13613,MARLENE LIRA DO NASCIMENTO,MARLENE DO SINDICATO,PARTIDO ISOLADO,PT,PA,BENEVIDES,49,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,AGRICULTOR,12307.75,N,S
CAPANEMA,VEREADOR,14333,MARIA VANUZA DOS SANTOS OLIVEIRA,VANUZA,PARTIDO ISOLADO,PTB,PA,CAPANEMA,50,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,49946.34,N,S
BELÉM,VEREADOR,45600,LUCIANA MONTEIRO DINIZ,LUCIANA DINIZ,PARTIDO ISOLADO,PSDB,PA,BELÉM,41,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,ADMINISTRADOR,438043.03,N,S
BELÉM,VEREADOR,27002,LADILSON ALEXANDRE LACOSTE GOUVEIA,LADILSON ALEXANDRE,PARTIDO ISOLADO,DC,PA,BELÉM,39,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,438043.03,N,S
SANTA MARIA DAS BARREIRAS,VEREADOR,15000,JULIA DE ABREU FONTENELLE LOPES,JULIA FONTENELLE,PARTIDO ISOLADO,MDB,PA,CONCEIÇÃO DO ARAGUAIA,41,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO ESTADUAL,12307.75,N,S
IGARAPÉ-MIRI,VEREADOR,22456,JOSECLEI DE CASTRO,JOÃOZINHO,PARTIDO ISOLADO,PL,PA,IGARAPÉ-MIRI,42,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,OUTROS,16625.55,N,S
BELÉM,VEREADOR,15000,JOHN WAYNE HOLANDA PARENTE,JOHN WAYNE,PARTIDO ISOLADO,MDB,PA,BELÉM,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,VEREADOR,438043.03,S,S
ANANINDEUA,VEREADOR,20777,JANUARIO DA SILVA FRANCO NETO,DR NETO RESQUE,PARTIDO ISOLADO,PSC,PA,BELÉM,40,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO ESTADUAL,115386.04,N,S
MUANÁ,VEREADOR,10111,JANETE DA SILVA CARVALHO,JANETE CARVALHO,PARTIDO ISOLADO,REPUBLICANOS,PA,MUANÁ,45,FEMININO,SUPERIOR COMPLETO,SEPARADO(A) JUDICIALMENTE,PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
SÃO FRANCISCO DO PARÁ,VEREADOR,14222,HELDER ARLEY DE QUEIROZ VIEGAS,PROFESSOR HELDER,PARTIDO ISOLADO,PTB,PA,BELÉM,43,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,PROFESSOR DE ENSINO FUNDAMENTAL,16994.03,N,S
BAIÃO,VEREADOR,55777,FABIANO DOS REIS VIANA,FÁBIO,PARTIDO ISOLADO,PSD,PA,BAIÃO,40,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,25681.54,N,S
