Municipio,Cargo,Tipo_Agremiacao,Partido,UF_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Reeleicao,Declar_Bens,Valor_Total_Declarado,Situacao
ALMEIRIM,VEREADOR,PARTIDO ISOLADO,AVANTE,PA,33,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),SEM INFORMAÇÃO,N,S,650.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PSB,PA,70,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,600.0,SUPLENTE
GURUPÁ,VEREADOR,PARTIDO ISOLADO,PSD,AP,45,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,300.0,SUPLENTE
BRASIL NOVO,VEREADOR,PARTIDO ISOLADO,MDB,PA,37,MASCULINO,ENSINO MÉDIO INCOMPLETO,DIVORCIADO(A),PARDA,N,S,5270.0,ELEITO POR MÉDIA
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PSB,RO,49,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,600.0,SUPLENTE
SÃO FÉLIX DO XINGU,VEREADOR,PARTIDO ISOLADO,DEM,PA,26,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,5261.0,SUPLENTE
VISEU,VEREADOR,PARTIDO ISOLADO,PSDB,PA,63,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,500.0,SUPLENTE
SANTANA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,CIDADANIA,MA,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,N,S,3860.0,SUPLENTE
BENEVIDES,VEREADOR,PARTIDO ISOLADO,PROS,PA,39,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,9900.0,NÃO ELEITO
CASTANHAL,VEREADOR,PARTIDO ISOLADO,PT,RJ,57,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1575.27,NÃO ELEITO
SANTA MARIA DAS BARREIRAS,VEREADOR,PARTIDO ISOLADO,MDB,PA,35,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,4033.18,ELEITO POR QP
MOJUÍ DOS CAMPOS,VEREADOR,PARTIDO ISOLADO,PSDB,PA,44,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,1516.85,ELEITO POR MÉDIA
PACAJÁ,VEREADOR,PARTIDO ISOLADO,PMN,PA,32,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,120.0,SUPLENTE
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PATRIOTA,PA,23,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,2800.0,SUPLENTE
MOCAJUBA,VEREADOR,PARTIDO ISOLADO,PT,PA,27,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,2498.6,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,MDB,PA,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,S,S,87314.29999999996,ELEITO POR QP
FLORESTA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,MDB,GO,45,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,N,S,750.0,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,PP,PA,31,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,3345.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,39,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,N,N,6100.0,SUPLENTE
MONTE ALEGRE,VEREADOR,PARTIDO ISOLADO,PSDB,PA,42,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,S,8534.03,ELEITO POR QP
BELÉM,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,49,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,2014.7,SUPLENTE
ALENQUER,VEREADOR,PARTIDO ISOLADO,PL,PA,40,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,S,1839.7,SUPLENTE
VISEU,VEREADOR,PARTIDO ISOLADO,PTB,PA,36,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,1000.0,SUPLENTE
SÃO SEBASTIÃO DA BOA VISTA,VEREADOR,PARTIDO ISOLADO,PT,PA,62,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,594.27,SUPLENTE
CASTANHAL,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PE,44,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,4800.0,SUPLENTE
URUARÁ,VEREADOR,PARTIDO ISOLADO,PP,PA,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,500.0,SUPLENTE
SANTA MARIA DAS BARREIRAS,VEREADOR,PARTIDO ISOLADO,MDB,TO,36,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,N,S,1577.0,SUPLENTE
GARRAFÃO DO NORTE,VEREADOR,PARTIDO ISOLADO,PL,PA,31,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,451.0,SUPLENTE
ACARÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,27,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,1244.27,SUPLENTE
IGARAPÉ-MIRI,VEREADOR,PARTIDO ISOLADO,PSD,PA,37,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1000.0,SUPLENTE
RONDON DO PARÁ,VEREADOR,PARTIDO ISOLADO,PT,MA,36,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,3624.27,NÃO ELEITO
BREJO GRANDE DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,MDB,PA,39,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1767.48,SUPLENTE
SÃO MIGUEL DO GUAMÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,33,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,250.0,SUPLENTE
AURORA DO PARÁ,VEREADOR,PARTIDO ISOLADO,DEM,PA,32,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,4000.0,ELEITO POR QP
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PTB,PA,41,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,N,435.95,NÃO ELEITO
BELÉM,VEREADOR,PARTIDO ISOLADO,PSOL,PA,44,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,2000.0,SUPLENTE
OEIRAS DO PARÁ,VEREADOR,PARTIDO ISOLADO,PSDB,PA,40,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,2155.0,ELEITO POR MÉDIA
MÃE DO RIO,VEREADOR,PARTIDO ISOLADO,PL,PA,48,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PRETA,N,S,200.0,NÃO ELEITO
MUANÁ,VEREADOR,PARTIDO ISOLADO,PSC,PA,35,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,800.0,SUPLENTE
GURUPÁ,VEREADOR,PARTIDO ISOLADO,PSD,PA,42,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,2000.0,ELEITO POR MÉDIA
BENEVIDES,VEREADOR,PARTIDO ISOLADO,PODE,PA,47,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,639.71,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,PSL,PA,44,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,4707.62,SUPLENTE
CURRALINHO,VEREADOR,PARTIDO ISOLADO,PSD,PA,34,FEMININO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,N,N,3832.5,SUPLENTE
CAMETÁ,VEREADOR,PARTIDO ISOLADO,PSB,PA,45,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,N,S,1317.45,SUPLENTE
SÃO FRANCISCO DO PARÁ,VEREADOR,PARTIDO ISOLADO,PTB,PA,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,S,S,500.0,ELEITO POR MÉDIA
PONTA DE PEDRAS,VEREADOR,PARTIDO ISOLADO,PDT,PA,57,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,450.0,SUPLENTE
MOJU,VEREADOR,PARTIDO ISOLADO,PSC,PA,37,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,3050.01,SUPLENTE
AUGUSTO CORRÊA,VEREADOR,PARTIDO ISOLADO,MDB,PA,29,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,N,275.0,SUPLENTE
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PSDB,PA,34,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,600.0,SUPLENTE
ORIXIMINÁ,VEREADOR,PARTIDO ISOLADO,PSC,PA,43,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,10000.0,SUPLENTE
BREJO GRANDE DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,MDB,PA,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,N,S,1337.48,SUPLENTE
BARCARENA,VEREADOR,PARTIDO ISOLADO,PTC,PA,32,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,4667.099999999999,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PV,PA,51,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,N,S,2285.0,NÃO ELEITO
TRACUATEUA,VEREADOR,PARTIDO ISOLADO,DEM,PA,58,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1000.0,NÃO ELEITO
BRASIL NOVO,VEREADOR,PARTIDO ISOLADO,PT,PR,44,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,N,S,1000.0,SUPLENTE
SANTA BÁRBARA DO PARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,55,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,N,S,1935.0,SUPLENTE
CURUÇÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,49,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,594.27,SUPLENTE
NOVA IPIXUNA,VEREADOR,PARTIDO ISOLADO,PSB,BA,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,667.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PROS,PA,27,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,N,640.0,SUPLENTE
BOM JESUS DO TOCANTINS,VEREADOR,PARTIDO ISOLADO,PSB,MG,55,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,S,S,850.0,ELEITO POR MÉDIA
MARAPANIM,VEREADOR,PARTIDO ISOLADO,MDB,PA,46,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,N,150.0,SUPLENTE
MARITUBA,VEREADOR,PARTIDO ISOLADO,PTC,PA,48,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,137.95,NÃO ELEITO
GURUPÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,37,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,2259.0,ELEITO POR MÉDIA
CASTANHAL,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,48,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,200.0,SUPLENTE
SANTANA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PSD,TO,43,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,2225.0,SUPLENTE
CURUÇÁ,VEREADOR,PARTIDO ISOLADO,DEM,PA,48,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,2717.0,SUPLENTE
JURUTI,VEREADOR,PARTIDO ISOLADO,AVANTE,PA,33,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,140.0,ELEITO POR MÉDIA
ALENQUER,VEREADOR,PARTIDO ISOLADO,MDB,PA,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,600.0,SUPLENTE
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PSC,PA,35,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,9600.0,NÃO ELEITO
ALENQUER,VEREADOR,PARTIDO ISOLADO,PTB,PA,27,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,775.0,NÃO ELEITO
BELTERRA,VEREADOR,PARTIDO ISOLADO,PSC,PA,41,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1000.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PODE,MA,52,FEMININO,ENSINO MÉDIO COMPLETO,VIÚVO(A),PRETA,N,S,10007.8,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,48,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,25926.3,NÃO ELEITO
TERRA SANTA,VEREADOR,PARTIDO ISOLADO,PT,PA,34,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,N,898.6,NÃO ELEITO
ACARÁ,VEREADOR,PARTIDO ISOLADO,PSD,PA,35,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,1000.0,SUPLENTE
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PSC,PA,38,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,N,1150.0,NÃO ELEITO
MOJUÍ DOS CAMPOS,VEREADOR,PARTIDO ISOLADO,DEM,PA,40,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,600.0,NÃO ELEITO
CURRALINHO,VEREADOR,PARTIDO ISOLADO,PT,PA,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,N,594.0,SUPLENTE
AUGUSTO CORRÊA,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,45,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,N,1000.0,NÃO ELEITO
SANTA LUZIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,48,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,N,S,2459.96,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,PSL,PA,27,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,N,N,4086.6,SUPLENTE
PACAJÁ,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,29,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,N,150.0,NÃO ELEITO
SALINÓPOLIS,VEREADOR,PARTIDO ISOLADO,PT,PA,30,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,N,1280.0,NÃO ELEITO
BRASIL NOVO,VEREADOR,PARTIDO ISOLADO,PT,PA,34,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,880.0,SUPLENTE
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PSDB,PA,47,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,16472.13,ELEITO POR MÉDIA
MONTE ALEGRE,VEREADOR,PARTIDO ISOLADO,PSD,PA,41,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,N,S,3500.0,SUPLENTE
CURIONÓPOLIS,VEREADOR,PARTIDO ISOLADO,MDB,MA,52,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,5230.0,ELEITO POR QP
OURILÂNDIA DO NORTE,VEREADOR,PARTIDO ISOLADO,MDB,PA,43,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,N,S,2090.0,SUPLENTE
CURRALINHO,VEREADOR,PARTIDO ISOLADO,PATRIOTA,PA,38,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,4879.9,ELEITO POR MÉDIA
SALVATERRA,VEREADOR,PARTIDO ISOLADO,PODE,PA,58,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,N,2025.5,SUPLENTE
BUJARU,VEREADOR,PARTIDO ISOLADO,MDB,PA,42,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,500.0,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,PL,MA,39,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,13832.69,SUPLENTE
TERRA SANTA,VEREADOR,PARTIDO ISOLADO,PT,PA,36,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,N,594.27,NÃO ELEITO
PIÇARRA,VEREADOR,PARTIDO ISOLADO,PSB,MA,70,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,1502.5000000000002,NÃO ELEITO
SANTANA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PTB,BA,52,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,4340.0,SUPLENTE
SANTA BÁRBARA DO PARÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,56,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,N,S,594.27,SUPLENTE
PARAGOMINAS,VEREADOR,PARTIDO ISOLADO,PSD,PA,43,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,N,S,1780.45,SUPLENTE
SÃO MIGUEL DO GUAMÁ,VEREADOR,PARTIDO ISOLADO,DEM,PA,49,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,N,S,3231.5,SUPLENTE
SANTA MARIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,PSD,PA,52,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,N,S,1153.35,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,MDB,RJ,65,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,S,S,11400.0,SUPLENTE
ACARÁ,VEREADOR,PARTIDO ISOLADO,PSB,PA,30,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,1300.0,SUPLENTE
ACARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,57,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,S,S,3137.24,SUPLENTE
PACAJÁ,VEREADOR,PARTIDO ISOLADO,PATRIOTA,PA,39,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,N,1500.0,ELEITO POR MÉDIA
NOVA IPIXUNA,VEREADOR,PARTIDO ISOLADO,PTB,PA,49,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,N,S,3500.0,ELEITO POR QP
SANTA MARIA DAS BARREIRAS,VEREADOR,PARTIDO ISOLADO,PSL,PA,40,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,476.0,SUPLENTE
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,MDB,SP,50,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,S,S,10500.0,SUPLENTE
SANTA MARIA DAS BARREIRAS,VEREADOR,PARTIDO ISOLADO,PT,PA,34,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,590.45,NÃO ELEITO
CAMETÁ,VEREADOR,PARTIDO ISOLADO,PROS,PA,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,500.0,NÃO ELEITO
CURIONÓPOLIS,VEREADOR,PARTIDO ISOLADO,DEM,PA,36,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,2395.0,ELEITO POR MÉDIA
IGARAPÉ-AÇU,VEREADOR,PARTIDO ISOLADO,MDB,PA,37,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1740.3,SUPLENTE
ANAJÁS,VEREADOR,PARTIDO ISOLADO,PMN,PA,28,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,120.0,SUPLENTE
URUARÁ,VEREADOR,PARTIDO ISOLADO,DEM,MA,55,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1098.0,NÃO ELEITO
NOVO PROGRESSO,VEREADOR,PARTIDO ISOLADO,PSD,PR,42,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,N,S,562.5,SUPLENTE
REDENÇÃO,VEREADOR,PARTIDO ISOLADO,PT,GO,61,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,N,S,350.0,NÃO ELEITO
BELÉM,VEREADOR,PARTIDO ISOLADO,PV,PA,54,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,2262.0,NÃO ELEITO
CAPANEMA,VEREADOR,PARTIDO ISOLADO,PV,PA,52,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,350.0,SUPLENTE
BARCARENA,VEREADOR,PARTIDO ISOLADO,PTC,PA,51,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,S,S,43496.53999999999,SUPLENTE
GOIANÉSIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,30,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,2672.95,SUPLENTE
MARAPANIM,VEREADOR,PARTIDO ISOLADO,PSD,PA,60,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,N,150.0,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,PL,PA,44,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,500.0,SUPLENTE
ANAPU,VEREADOR,PARTIDO ISOLADO,PSDB,PE,43,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,2619.9,SUPLENTE
MELGAÇO,VEREADOR,PARTIDO ISOLADO,PTB,PA,41,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,1420.0,SUPLENTE
SANTARÉM,VEREADOR,PARTIDO ISOLADO,PSD,PA,51,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,3767.33,SUPLENTE
NOVO REPARTIMENTO,VEREADOR,PARTIDO ISOLADO,PT,PA,38,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,N,S,1188.54,NÃO ELEITO
MÃE DO RIO,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,41,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,780.0,ELEITO POR QP
OURILÂNDIA DO NORTE,VEREADOR,PARTIDO ISOLADO,PSL,TO,42,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,7090.0,NÃO ELEITO
ÁGUA AZUL DO NORTE,VEREADOR,PARTIDO ISOLADO,PSB,TO,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,N,56.95,SUPLENTE
JACAREACANGA,VEREADOR,PARTIDO ISOLADO,PDT,MA,58,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,N,S,1050.0,SUPLENTE
JURUTI,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,RS,39,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,N,S,1850.0,NÃO ELEITO
IGARAPÉ-MIRI,VEREADOR,PARTIDO ISOLADO,PT,PA,56,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,4964.110000000001,ELEITO POR QP
PORTEL,VEREADOR,PARTIDO ISOLADO,PL,PA,48,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,400.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PRTB,PA,63,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,N,S,2814.0,NÃO ELEITO
PARAGOMINAS,VEREADOR,PARTIDO ISOLADO,MDB,PA,50,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,N,S,2879.0,SUPLENTE
TUCUMÃ,VEREADOR,PARTIDO ISOLADO,PSDB,MA,57,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,N,S,3499.0,SUPLENTE
PORTO DE MOZ,VEREADOR,PARTIDO ISOLADO,PSDB,PA,67,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PRETA,N,S,6852.25,SUPLENTE
ANAPU,VEREADOR,PARTIDO ISOLADO,MDB,CE,68,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,3090.0,SUPLENTE
ANAPU,VEREADOR,PARTIDO ISOLADO,PSDB,TO,51,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,4130.3,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PSL,PA,37,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,S,5000.0,NÃO ELEITO
SANTARÉM,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,32,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,680.9,SUPLENTE
PARAGOMINAS,VEREADOR,PARTIDO ISOLADO,MDB,PA,55,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),SEM INFORMAÇÃO,N,S,1990.93,SUPLENTE
BUJARU,VEREADOR,PARTIDO ISOLADO,MDB,PA,45,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,S,900.0,SUPLENTE
ORIXIMINÁ,VEREADOR,PARTIDO ISOLADO,PSD,PA,38,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,3545.0,SUPLENTE
ANAPU,VEREADOR,PARTIDO ISOLADO,PTB,PI,61,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,N,S,517.9,SUPLENTE
